SP500,SF1,ZEP,Sector,DateInSP500,DateOutSP500
MEL,MEL,MEL,Financials,01/01/99,06/29/07
MER,MER,MER_,Financials,01/01/99,12/31/08
MET,MET,MET,Financials,12/08/00,01/01/20
MFE,MFE,MFE,Information Technology,12/22/08,02/28/11
MHK,MHK,MHK,Consumer Discretionary,12/20/13,01/01/20
MHS,MHS,MHS,Health Care,08/19/03,04/03/12
MI,MI,MI,Financials,02/08/02,07/05/11
MIL,MIL1,MIL_,Health Care,01/01/99,07/14/10
MJN,MJN,MJN,Consumer Staples,12/18/09,01/01/20
MKC,MKC,MKC,Consumer Staples,03/20/03,01/01/20
MLM,MLM,MLM,Materials,07/01/14,01/01/20
MMC,MMC,MMC,Financials,01/01/99,01/01/20
MMI,MMI1,MMI_2,Information Technology,01/03/11,05/21/12
MMM,MMM,MMM,Industrials,01/01/99,01/01/20
MNK,MNK,MNK,Health Care,08/18/14,01/01/20
MNST,MNST,MNST,Consumer Staples,06/28/12,01/01/20
MO,MO,MO,Consumer Staples,01/01/99,01/01/20
MOLX,MOLX,MOLX,Information Technology,01/01/99,12/09/13
MON,MON,MON,Materials,08/13/02,01/01/20
MOS,MOS,MOS,Materials,09/23/11,01/01/20
MPC,MPC,MPC,Energy,06/30/11,01/01/20
MRK,MRK,MRK,Health Care,01/01/99,01/01/20
MRO,MRO,MRO,Energy,01/01/99,01/01/20
MS,MS,MS,Financials,01/01/99,01/01/20
MSFT,MSFT,MSFT,Information Technology,01/01/99,01/01/20
MSI,MSI,MSI,Information Technology,01/01/99,01/01/20
MTB,MTB,MTB,Financials,02/26/04,01/01/20
MTG,MTG,MTG,Financials,01/01/99,10/30/08
MTW,MTW,MTW,Industrials,11/15/07,08/31/09
MU,MU,MU,Information Technology,01/01/99,01/01/20
MUR,MUR,MUR,Energy,08/12/05,01/01/20
MWW,MWW,MWW,Information Technology,06/01/01,12/16/11
MXIM,MXIM,MXIM,Information Technology,05/09/00,09/26/07
MYG,MYG,MYG_,Consumer Discretionary,01/01/99,03/31/06
MYL,MYL,MYL,Health Care,04/22/04,01/01/20
NAV,NAV,NAV,Industrials,01/01/99,12/19/06
NAVI,NAVI,NAVI,Financials,05/01/14,01/01/20
NBL,NBL,NBL,Energy,10/05/07,01/01/20
NBR,NBR,NBR,Energy,10/17/00,03/20/15
NC,NC,NC,Consumer Discretionary,01/01/99,06/02/00
NCC,NCC,NCC,Financials,01/01/99,12/31/08
NCR,NCR,NCR,Information Technology,01/03/00,09/28/07
NDAQ,NDAQ,NDAQ,Financials,10/21/08,01/01/20
NE,NE,NE,Energy,01/14/11,07/17/15
NEE,NEE,NEE,Utilities,01/01/99,01/01/20
NEM,NEM,NEM,Materials,01/01/99,01/01/20
NFB,NFB,NFB,Financials,07/16/02,11/30/06
NFLX,NFLX,NFLX,Consumer Discretionary,12/17/10,01/01/20
NFX,NFX,NFX,Energy,12/17/10,01/01/20
NI,NI,NI,Utilities,11/01/00,01/01/20
NKE,NKE,NKE,Consumer Discretionary,01/01/99,01/01/20
NLSN,NLSN,NLSN,Industrials,07/08/13,01/01/20
NOC,NOC,NOC,Industrials,01/01/99,01/01/20
NOV,NOV,NOV,Energy,03/11/05,01/01/20
NOVL,NOVL,NOVL,Information Technology,01/01/99,04/27/11
NRG,NRG,NRG,Utilities,01/27/10,01/01/20
NT,NRTLQ,NRTLQ,Information Technology,01/01/99,07/19/02
NSC,NSC,NSC,Industrials,01/01/99,01/01/20
NSM,NSM1,NSM_,Information Technology,01/01/99,09/23/11
NTAP,NTAP,NTAP,Information Technology,01/01/99,01/01/20
NTRS,NTRS,NTRS,Financials,01/01/99,01/01/20
NUE,NUE,NUE,Materials,01/01/99,01/01/20
NVDA,NVDA,NVDA,Information Technology,11/29/01,01/01/20
NVLS,NVLS1,NVLS_,Information Technology,06/16/00,06/05/12
NWL,NWL,NWL,Consumer Discretionary,01/01/99,01/01/20
NWSA,NWSA,NWSA,Consumer Discretionary,06/28/13,01/01/20
NXTL,NXTL,NXTL,Telecommunications,01/01/99,08/12/05
NYT,NYT,NYT,Consumer Discretionary,01/01/99,12/17/10
NYX,NYX,NYX,Financials,10/24/07,11/12/13
O,O,O,Real Estate,04/06/15,01/01/20
OWC,OC,OC,Industrials,01/01/99,09/29/00
ODP,ODP,ODP,Consumer Discretionary,01/01/99,12/17/10
OI,OI,OI,Materials,12/31/08,12/08/00
OKE,OKE,OKE,Energy,03/12/10,08/29/01
OMC,OMC,OMC,Consumer Discretionary,01/01/99,01/01/20
OMX,OMX,OMX,Consumer Discretionary,01/01/99,06/20/08
ORCL,ORCL,ORCL,Information Technology,01/01/99,01/01/20
ORLY,ORLY,ORLY,Consumer Discretionary,03/26/09,01/01/20
OXY,OXY,OXY,Energy,01/01/99,01/01/20
PALM,PALM,PALM,Information Technology,07/27/00,08/13/02
PAYX,PAYX,PAYX,Information Technology,01/01/99,01/01/20
PBCT,PBCT,PBCT,Financials,11/12/08,01/01/20
PBG,PBG,PBG,Consumer Staples,05/11/01,02/26/10
PBI,PBI,PBI,Industrials,01/01/99,01/01/20
PBY,PBY,PBY,Consumer Discretionary,01/01/99,03/31/00
PCAR,PCAR,PCAR,Industrials,01/01/99,01/01/20
PCG,PCG,PCG,Utilities,01/01/99,01/01/20
PCH,PCH,PCH,Real Estate,01/01/99,07/06/01
PCL,PCL,PCL,Financials,01/16/02,02/19/16
PCLN,PCLN,PCLN,Consumer Discretionary,11/03/09,01/01/20
PCP,PCP,PCP,Industrials,05/31/07,01/29/16
PD,PD,PD,Materials,01/01/99,03/19/07
PDCO,PDCO,PDCO,Health Care,10/10/05,01/01/20
PEG,PEG,PEG,Utilities,01/01/99,01/01/20
PEP,PEP,PEP,Consumer Staples,01/01/99,01/01/20
PETM,PETM,PETM,Consumer Discretionary,10/04/12,03/11/15
PFE,PFE,PFE,Health Care,01/01/99,01/01/20
PFG,PFG,PFG,Financials,07/19/02,01/01/20
PG,PG,PG,Consumer Staples,01/01/99,01/01/20
PGL,PGL,PGL,Utilities,01/01/99,02/21/07
PGN,PGN1,PGN_3,Utilities,01/01/99,06/29/12
PGR,PGR,PGR,Financials,01/01/99,01/01/20
PH,PH,PH,Industrials,01/01/99,01/01/20
PHM,PHM,PHM,Consumer Discretionary,01/01/99,01/01/20
PKI,PKI,PKI,Health Care,01/01/99,01/01/20
PLD,PLD,PLD,Real Estate,07/16/03,01/01/20
PLL,PLL,PLL,Industrials,01/01/99,08/28/15
PM,PM,PM,Consumer Staples,03/28/08,01/01/20
PMCS,PMCS,PMCS,Information Technology,08/02/01,06/29/07
PNC,PNC,PNC,Financials,01/01/99,01/01/20
PNR,PNR,PNR,Industrials,09/28/12,01/01/20
PNW,PNW,PNW,Utilities,01/01/99,01/01/20
POM,POM,POM,Utilities,11/08/07,03/29/16
PPG,PPG,PPG,Materials,01/01/99,01/01/20
PPL,PPL,PPL,Utilities,01/01/99,01/01/20
PRGO,PRGO,PRGO,Health Care,12/16/11,01/01/20
PRU,PRU,PRU,Financials,07/19/02,01/01/20
PSA,PSA,PSA,Real Estate,08/18/05,01/01/20
PSFT,PSFT,PSFT_,Information Technology,01/01/99,12/28/04
PSX,PSX,PSX,Energy,04/23/12,01/01/20
PTC,PTC,PTC,Information Technology,01/01/99,12/29/06
PTV,PTV,PTV,Materials,01/01/99,11/16/10
PVH,PVH,PVH,Consumer Discretionary,02/13/13,01/01/20
PWER,PWER,PWER,Information Technology,10/20/00,03/11/05
PWR,PWR,PWR,Industrials,06/30/09,01/01/20
PX,PX,PX,Materials,01/01/99,01/01/20
PXD,PXD,PXD,Energy,09/23/08,01/01/20
PYPL,PYPL,PYPL,Information Technology,07/17/15,01/01/20
QTRN,Q,QTRN,Health Care,01/01/99,09/25/03
Q,Q1,Q_1,Telecommunications,07/05/00,03/31/11
QCOM,QCOM,QCOM,Information Technology,01/01/99,01/01/20
QEP,QEP,QEP,Energy,06/30/10,06/30/15
QLGC,QLGC,QLGC,Information Technology,12/11/00,01/14/11
QRVO,QRVO,QRVO,Information Technology,06/11/15,01/01/20
R,R,R,Industrials,01/01/99,01/01/20
RAD,RAD,RAD,Consumer Staples,01/01/99,07/26/00
RAI,RAI,RAI,Consumer Staples,09/03/02,01/01/20
RCL,RCL,RCL,Consumer Discretionary,12/04/14,01/01/20
RDC,RDC,RDC,Energy,01/01/99,08/18/14
REGN,REGN,REGN,Health Care,04/30/13,01/01/20
RF,RF,RF,Financials,01/01/99,01/01/20
RHI,RHI,RHI,Industrials,12/04/00,01/01/20
RHT,RHT,RHT,Information Technology,07/24/09,01/01/20
RIG,RIG,RIG,Energy,10/28/13,12/18/08
RL,RL,RL,Consumer Discretionary,01/31/07,01/01/20
RLGY,RLGY,RLGY,Real Estate,07/31/06,04/09/07
RML,RML,RML,Consumer Discretionary,01/01/99,12/11/00
ROH,ROH,ROH,Materials,01/01/99,04/01/09
ROK,ROK,ROK,Industrials,01/01/99,01/01/20
ROP,ROP,ROP,Industrials,12/22/09,01/01/20
ROST,ROST,ROST,Consumer Discretionary,12/18/09,01/01/20
RRC,RRC,RRC,Energy,12/20/07,01/01/20
RRD,RRD,RRD,Industrials,01/01/99,12/11/12
RSG,RSG,RSG,Industrials,12/04/08,01/01/20
RSH,RSH,RSHCQ,Consumer Discretionary,01/01/99,06/30/11
RTN,RTN,RTN,Industrials,01/01/99,01/01/20
RX,RX,RX,Health Care,01/01/99,02/26/10
S,S,S,Telecommunications,01/01/99,07/08/13
S (Sears),S1,S_1,Consumer Discretionary,01/01/99,03/24/05
SAF,SAF,SAF,Financials,01/01/99,09/22/08
SANM,SANM,SANM,Information Technology,06/20/00,06/29/07
SAPE,SAPE,SAPE,Information Technology,05/04/00,05/10/02
SUB,SBGA,SBGA,Financials,01/01/99,02/28/01
SBUX,SBUX,SBUX,Consumer Discretionary,06/07/00,01/01/20
SCG,SCG,SCG,Utilities,12/31/08,01/01/20
SCHW,SCHW,SCHW,Financials,01/01/99,01/01/20
SRV,SCI,SCI,Consumer Discretionary,01/01/99,03/15/00
SDS,SDS1,SDS_,Information Technology,07/19/02,08/11/05
SE,SE,SE,Energy,12/29/06,01/01/20
SEE,SEE,SEE,Materials,01/01/99,01/01/20
SFA,SFA,SFA,Information Technology,01/01/99,02/24/06
SGI,SGI,SGI,Information Technology,01/01/99,06/20/00
SGP,SGP,SGP,Health Care,01/01/99,11/03/09
SHLD,SHLD,SHLD,Consumer Discretionary,03/24/05,09/04/12
SHW,SHW,SHW,Materials,01/01/99,01/01/20
SIAL,SIAL,SIAL,Materials,01/01/99,11/18/15
SIG,SIG,SIG,Consumer Discretionary,07/28/15,01/01/20
SII,SII,SII,Energy,09/29/06,08/26/10
SJM,SJM,SJM,Consumer Staples,11/05/08,01/01/20
SLB,SLB,SLB,Energy,01/01/99,01/01/20
SLG,SLG,SLG,Real Estate,03/20/15,01/01/20
SLM,SLM,SLM,Financials,01/01/99,05/01/14
SLR,SLR,SLR,Information Technology,01/01/99,10/01/07
SNA,SNA,SNA,Industrials,01/01/99,01/01/20
SNDK,SNDK,SNDK,Information Technology,04/19/06,05/12/16
SNI,SNI,SNI,Consumer Discretionary,06/30/08,01/01/20
SNV,SNV,SNV,Financials,01/01/99,12/31/07
SO,SO,SO,Utilities,01/01/99,01/01/20
SPG,SPG,SPG,Real Estate,06/25/02,01/01/20
SPGI,SPGI,SPGI,Financials,01/01/99,01/01/20
SPLS,SPLS,SPLS,Consumer Discretionary,01/01/99,01/01/20
SRCL,SRCL,SRCL,Industrials,11/18/08,01/01/20
SRE,SRE,SRE,Utilities,01/01/99,01/01/20
SSP,SSP,SSP,Consumer Discretionary,12/19/05,06/30/08
STI,STI,STI,Financials,01/01/99,01/01/20
STJ,STJ,STJ,Health Care,01/01/99,01/01/20
STR,STR,STR,Utilities,11/30/06,06/30/10
STT,STT,STT,Financials,01/01/99,01/01/20
STX,STX,STX,Information Technology,06/29/12,01/01/20
STZ,STZ,STZ,Consumer Staples,07/01/05,01/01/20
SUN,SUN,SUN,Energy,01/01/99,10/04/12
SUNE,SUNE,SUNE,Information Technology,05/30/07,12/16/11
SVU,SVU,SVU,Consumer Staples,01/01/99,04/23/12
SWK,SWK,SWK,Industrials,01/01/99,01/01/20
SWKS,SWKS,SWKS,Information Technology,03/11/15,01/01/20
SWN,SWN,SWN,Energy,06/06/08,01/01/20
SWY,SWY,SWY,Consumer Staples,01/01/99,01/26/15
SYF,SYF,SYF,Financials,11/17/15,01/01/20
SYK,SYK,SYK,Health Care,12/11/00,01/01/20
SYMC,SYMC,SYMC,Information Technology,03/28/03,01/01/20
SYY,SYY,SYY,Consumer Staples,01/01/99,01/01/20
T,T,T,Telecommunications,01/01/99,01/01/20
TAP,TAP,TAP,Consumer Staples,01/01/99,01/01/20
TDC,TDC,TDC,Information Technology,09/28/07,01/01/20
TDG,TDG,TDG,Industrials,06/02/16,01/01/20
TE,TE,TE,Utilities,10/09/01,06/30/16
TEG,TEG,TEG,Utilities,02/21/07,06/30/15
TEK,TEK,TEK,Information Technology,01/01/99,11/15/07
TEL,TEL,TEL,Information Technology,10/14/11,06/25/09
TER,TER,TER,Information Technology,01/01/99,12/20/13
TEX,TEX,TEX,Industrials,12/19/06,11/05/08
TGNA,TGNA,TGNA,Consumer Discretionary,01/01/99,01/01/20
TGT,TGT,TGT,Consumer Discretionary,01/01/99,01/01/20
THC,THC,THC,Health Care,01/01/99,04/15/16
TIE,TIE,TIE,Materials,10/26/07,12/21/12
TIF,TIF,TIF,Consumer Discretionary,06/20/00,01/01/20
TIN,TIN,TIN,Materials,01/01/99,12/28/07
TJX,TJX,TJX,Consumer Discretionary,01/01/99,01/01/20
TKR,TKR,TKR,Industrials,01/01/99,08/06/01
TLAB,TLAB,TLAB,Information Technology,01/01/99,12/20/11
TMK,TMK,TMK,Financials,01/01/99,01/01/20
TMO,TMO,TMO,Health Care,01/01/99,01/01/20
TNB,TNB,TNB,Industrials,01/01/99,08/02/04
TOY,TOY,TOY_,Consumer Discretionary,01/01/99,07/21/05
TRB,TRB,TRB,Consumer Discretionary,01/01/99,12/20/07
TRIP,TRIP,TRIP,Consumer Discretionary,12/20/11,01/01/20
TROW,TROW,TROW,Financials,01/01/99,01/01/20
TRV,TRV,TRV,Financials,01/01/99,01/01/20
TRW,TRW,TRW,Consumer Discretionary,01/01/99,12/11/02
TSCO,TSCO,TSCO,Consumer Discretionary,01/23/14,01/01/20
TSG,TSG,TSG,Information Technology,03/15/00,03/30/07
TSN,TSN,TSN,Consumer Staples,08/10/05,01/01/20
TSO,TSO,TSO,Energy,09/26/07,01/01/20
TSS,TSS,TSS,Information Technology,12/31/07,01/01/20
TT,TT,TT,Industrials,05/10/02,06/06/08
TUP,TUP,TUP,Consumer Discretionary,01/01/99,03/24/04
TWC,TWC,TWC,Consumer Discretionary,03/27/09,05/17/16
TWX,TWX,TWX,Consumer Discretionary,01/01/99,01/01/20
TXN,TXN,TXN,Information Technology,01/01/99,01/01/20
TXT,TXT,TXT,Industrials,01/01/99,01/01/20
TXU,TXU,TXU,Utilities,01/01/99,10/09/07
UA,UA,UA,Consumer Discretionary,04/30/14,01/01/20
UAL,UAL,UAL,Industrials,09/02/15,01/01/20
UDR,UDR,UDR,Real Estate,03/04/16,01/01/20
UHS,UHS,UHS,Health Care,09/19/14,01/01/20
UIS,UIS,UIS,Information Technology,01/01/99,11/10/08
ULTA,ULTA,ULTA,Consumer Discretionary,04/15/16,01/01/20
UNH,UNH,UNH,Health Care,01/01/99,01/01/20
UNM,UNM,UNM,Financials,01/01/99,01/01/20
UNP,UNP,UNP,Industrials,01/01/99,01/01/20
UPS,UPS,UPS,Industrials,07/19/02,01/01/20
URBN,URBN,URBN,Consumer Discretionary,01/29/10,01/01/20
URI,URI,URI,Industrials,09/19/14,01/01/20
USB,USB,USB,Financials,01/01/99,01/01/20
UTX,UTX,UTX,Industrials,01/01/99,01/01/20
UVN,UVN,UVN,Consumer Discretionary,02/06/01,03/28/07
V,V,V,Financials,12/18/09,01/01/20
VAR,VAR,VAR,Health Care,02/09/07,01/01/20
VC,VC,VC,Consumer Discretionary,06/28/00,12/30/05
VFC,VFC,VFC,Consumer Discretionary,01/01/99,01/01/20
VIAB,VIAB,VIAB,Consumer Discretionary,12/30/05,01/01/20
VIAV,VIAV,VIAV,Information Technology,07/26/00,12/20/13
VLO,VLO,VLO,Energy,04/28/04,01/01/20
VMC,VMC,VMC,Materials,01/01/99,01/01/20
VNO,VNO,VNO,Real Estate,08/11/05,01/01/20
VRSK,VRSK,VRSK,Industrials,10/07/15,01/01/20
VRSN,VRSN,VRSN,Information Technology,01/31/06,01/01/20
VRTS,VRTS1,VRTS_,Information Technology,03/31/00,07/01/05
VRTX,VRTX,VRTX,Health Care,09/20/13,01/01/20
VTR,VTR,VTR,Real Estate,03/03/09,01/01/20
VZ,VZ,VZ,Telecommunications,01/01/99,01/01/20
WAMUQ,WAMUQ,WAMUQ,Financials,01/01/99,09/29/08
WAT,WAT,WAT,Health Care,12/31/01,01/01/20
WB,WB1,WB_,Financials,01/01/99,12/31/08
WBA,WBA,WBA,Consumer Staples,01/01/99,01/01/20
WDC,WDC,WDC,Information Technology,06/30/09,01/01/20
WEC,WEC,WEC,Utilities,10/30/08,01/01/20
WEN,WEN,WEN,Consumer Discretionary,01/01/99,09/29/08
WFC,WFC,WFC,Financials,01/01/99,01/01/20
WFM,WFM,WFM,Consumer Staples,12/30/05,01/01/20
WFT,WFT,WFT,Energy,07/21/05,02/25/09
WHR,WHR,WHR,Consumer Discretionary,01/01/99,01/01/20
WIN,WIN,WIN,Telecommunications,07/17/06,04/06/15
WIN (W-D),WINN,WINN,Consumer Staples,01/01/99,12/02/04
WLP,WLP1,WLP_1,Health Care,01/01/99,11/30/04
WLTW,WLTW,WLTW,Financials,01/04/16,01/01/20
WM,WM,WM,Industrials,01/01/99,01/01/20
WMB,WMB,WMB,Energy,01/01/99,01/01/20
WMT,WMT,WMT,Consumer Staples,01/01/99,01/01/20
WOR,WOR,WOR,Materials,01/01/99,12/17/04
WPX,WPX,WPX,Energy,12/30/11,03/21/14
WRK,WRK,WRK,Materials,01/01/99,01/01/20
WU,WU,WU,Information Technology,09/29/06,01/01/20
WWY,WWY,WWY,Consumer Staples,01/01/99,10/03/08
WY,WY,WY,Real Estate,01/01/99,01/01/20
WYE,WYE,WYE,Health Care,01/01/99,10/15/09
WYN,WYN,WYN,Consumer Discretionary,07/31/06,01/01/20
WYNN,WYNN,WYNN,Consumer Discretionary,11/13/08,01/01/20
X,X,X,Materials,01/01/99,07/01/14
XEC,XEC,XEC,Energy,06/20/14,01/01/20
XEL,XEL,XEL,Utilities,01/01/99,01/01/20
XL,XL,XL,Financials,08/31/01,01/01/20
XLNX,XLNX,XLNX,Information Technology,01/01/99,01/01/20
XOM,XOM,XOM,Energy,01/01/99,01/01/20
XRAY,XRAY,XRAY,Health Care,11/13/08,01/01/20
XRX,XRX,XRX,Information Technology,01/01/99,01/01/20
XTO,XTO,XTO,Energy,12/28/04,06/28/10
XYL,XYL,XYL,Industrials,10/31/11,01/01/20
YHOO,YHOO,YHOO,Information Technology,01/01/99,01/01/20
YUM,YUM,YUM,Consumer Discretionary,01/01/99,01/01/20
ZBH,ZBH,ZBH,Health Care,08/06/01,01/01/20
ZION,ZION,ZION,Financials,06/22/01,01/01/20
ZTS,ZTS,ZTS,Health Care,06/21/13,01/01/20
